タイトル,監督,シリーズ構成,制作会社
アイドルマスターSideM,原田孝宏,綾奈ゆにこ,A-1Pictures
アイドルマスターシンデレラガールズ劇場2,まんきゅう,まんきゅう,ギャザリング
aisekiMOGOLGIRL,森りょういち,森りょういち,ストロベリー・ミーツピクチュアズ
アニメガタリズ,森井ケンシロウ,広田光毅,ワオワールド
あめこん！！,石井久志,藤本冴香,チームあめこん
いつだって僕らの恋は10センチだった,難波日登志,成田良美,Lay-duce
いぬやしき,さとうけいいち,瀬古浩司,MAPPA
妹さえいればいい,大沼心,平坂読,SILVER_LINK
Infini-T Force,鈴木清祟,大野敏哉,タツノコプロ
WakeUpGirls!新章,板垣伸,GreenLeaves,ミルパンセ
URAHARA,久保亜美香,高橋ナツコ,白組
王様ゲームTheAnimation,佐々木勅嘉,古怒田健志,セブン
お酒は夫婦になってから,ひらさわひさよし,花井柚都子,CreatorsInPack
おそ松さん2,藤田陽一,松原秀,studioぴえろ
お見合い相手は教え子強気な問題児,みうらさぶろう,みうらさぶろう,セブン
俺たちゃ妖怪人間,安達譲,安達譲,DLE
牙狼GARO-VANISHING LIFE-,朴性厚,吉村清子,MAPPA
キノの旅-the Beautiful World-the Animated Series,田口智久,菅原雪絵,ラルケ
銀魂「ポロリ篇」,宮脇千鶴,大和屋暁,サンライズ
クジラの子らは砂上に歌う,イシグロキョウヘイ,横手美智子,JCSTAFF
クラシカロイド2,馬引圭,土屋理敬,サンライズ
血界戦線＆BEYOND,高柳滋仁,加茂靖子,ボンズ
Code:Realize〜創世の姫君,山本秀世,ハラダサヤカ,MSC
このはな綺譚,岡本英樹,吉岡たかを,ラルケ
されど罪人は竜と踊る,錦織博,伊神貴世,セブン・アークス
3月のライオン2,新房昭之,新房昭之,シャフト
少女終末旅行,尾崎隆晴,ふでやすかずゆき,WHITE_FOX
JustBecause!,小林敦,鴨志田一,PINE_JAM
十二大戦,細田直人,村井さだゆき,グラフィニカ
食戟のソーマ餐ノ皿,米たにヨシトモ,ヤスカワショウゴ,JCSTAFF
戦刻ナインブラッド,菊池カツヤ,柿原優子,颱風グラフィックス
DYNAMATIC CHORD,影山楙倫,影山楙倫,studioぴえろ
タイムボカン逆襲の三悪人,菊川雄士,加藤陽一,タツノコプロ
つうかあ,田村正文,高山カツヒコ,SILVER_LINK
TSUKIPRO THE ANIMATION,元永慶太郎,吉田玲子,PRA
Dies irae,工藤進,正田崇,ACGT
ドリフェス！R,村野佑太,加藤陽一,BNPictures
ネト充のススメ,柳沼和良,ふでやすかずゆき,Signal-MD
干物妹！うまるちゃんR,太田雅彦,あおしまたかし,動画工房
ファイアーボールユーモラス,荒川航,荒川航,ウォルト・ディズニー・ジャパン
ブレンドS,益川亮司,雑破業,A-1Pictures
鬼火の冷徹弐,米田和弘,後藤みどり,スタジオディーン
宝石の国,京極尚彦,大野敏哉,オレンジ
僕の彼女がマジメ過ぎるしょびっちな件,長山延好,白根秀樹,ディオメディア
魔法使いの嫁,長沼範裕,高羽彩,WITSTUDIO
UQ HOLDER！〜魔法先生ネギま！2,鈴木洋平,赤松健,JCSTAFF
結城友奈は勇者である2期,岸誠二,上江洲誠,Studio五組
ラブ米2期,堀内隆,高林ユーキ,エンカレッジフィルムズ
ラブライブ！サンシャイン！！2期,酒井和男,花田十輝,サンライズ
ROBOMATES THE ANIMATED SERIES,山本靖貴,山下憲一,GONZO